Wavelength	Mean	Std+	Std-
350	0.02848885	0.033891835	0.023085865
351	0.02860455	0.034007152	0.023201948
352	0.02860705	0.034016454	0.023197646
353	0.0287203	0.034127499	0.023313101
354	0.02866825	0.034072071	0.023264429
355	0.0284564	0.033859308	0.023053492
356	0.02845675	0.033896789	0.023016711
357	0.0287704	0.034205549	0.023335251
358	0.02915115	0.034562304	0.023739996
359	0.029099	0.034503623	0.023694377
360	0.02919945	0.034615541	0.023783359
361	0.02930015	0.034725091	0.023875209
362	0.02931425	0.034731784	0.023896716
363	0.0291473	0.03458182	0.02371278
364	0.02913605	0.034582501	0.023689599
365	0.02931855	0.034767343	0.023869757
366	0.02958585	0.035014752	0.024156948
367	0.02963285	0.035059645	0.024206055
368	0.0295707	0.03500167	0.02413973
369	0.02963145	0.035043867	0.024219033
370	0.02947925	0.034877785	0.024080715
371	0.02948785	0.034886046	0.024089654
372	0.0299942	0.035417765	0.024570635
373	0.0301309	0.035554744	0.024707056
374	0.03012995	0.035555796	0.024704104
375	0.03002525	0.035459114	0.024591386
376	0.0302982	0.035734558	0.024861842
377	0.0302597	0.035711128	0.024808272
378	0.0300816	0.035553812	0.024609388
379	0.03033395	0.035806912	0.024860988
380	0.03026785	0.03574734	0.02478836
381	0.0302095	0.035687732	0.024731268
382	0.03044525	0.035896049	0.024994451
383	0.0304999	0.035937851	0.025061949
384	0.03064655	0.036073645	0.025219455
385	0.0309366	0.036352963	0.025520237
386	0.03066465	0.036087223	0.025242077
387	0.0306876	0.036122089	0.025253111
388	0.0309016	0.036350251	0.025452949
389	0.03099515	0.036446981	0.025543319
390	0.0311198	0.036575468	0.025664132
391	0.031275	0.036729393	0.025820607
392	0.03148065	0.03692079	0.02604051
393	0.03150035	0.036929168	0.026071532
394	0.031433	0.03687409	0.02599191
395	0.03129955	0.036781047	0.025818053
396	0.0314429	0.036901675	0.025984125
397	0.03149805	0.036953082	0.026043018
398	0.03152345	0.036984801	0.026062099
399	0.0317312	0.037180258	0.026282142
400	0.0318214	0.037269589	0.026373211
401	0.031856	0.037303492	0.026408508
402	0.03187145	0.037307499	0.026435401
403	0.03195725	0.037401236	0.026513264
404	0.03203465	0.037480688	0.026588612
405	0.03208515	0.03752028	0.02665002
406	0.0321098	0.037540381	0.026679219
407	0.03214045	0.037568123	0.026712777
408	0.03218035	0.037606792	0.026753908
409	0.03225305	0.037684382	0.026821718
410	0.03229355	0.037724243	0.026862857
411	0.03232045	0.037749128	0.026891772
412	0.03235105	0.037781426	0.026920674
413	0.0324507	0.037879342	0.027022058
414	0.03252285	0.037951513	0.027094187
415	0.0325323	0.03796445	0.02710015
416	0.03262675	0.038048544	0.027204956
417	0.0327089	0.038125109	0.027292691
418	0.03277005	0.0381864	0.0273537
