Wavelength	Mean	Std+	Std-
350	0.0196218	0.021565732	0.017677868
351	0.0198182	0.021875895	0.017760505
352	0.0195812	0.021664504	0.017497896
353	0.0193814	0.021396256	0.017366544
354	0.0193228	0.021299538	0.017346062
355	0.019386	0.021365758	0.017406242
356	0.0192492	0.021241443	0.017256957
357	0.0192374	0.021259951	0.017214849
358	0.0193046	0.021374837	0.017234363
359	0.0194002	0.021517036	0.017283364
360	0.0191278	0.021139649	0.017115951
361	0.0190038	0.02094125	0.01706635
362	0.0193808	0.021395797	0.017365803
363	0.019312	0.021350674	0.017273326
364	0.0190962	0.021146572	0.017045828
365	0.0188016	0.020858085	0.016745115
366	0.0190914	0.02126243	0.01692037
367	0.019126	0.021301225	0.016950775
368	0.019037	0.021147672	0.016926328
369	0.0190946	0.021157233	0.017031967
370	0.0190002	0.021109148	0.016891252
371	0.0188972	0.021059855	0.016734545
372	0.018886	0.021051573	0.016720427
373	0.0188896	0.02108225	0.01669695
374	0.018866	0.021056189	0.016675811
375	0.0188108	0.020961222	0.016660378
376	0.018917	0.021076092	0.016757908
377	0.0188226	0.020977146	0.016668054
378	0.0186566	0.020799121	0.016514079
379	0.0188606	0.020988734	0.016732466
380	0.0189464	0.021100549	0.016792251
381	0.0188698	0.021058862	0.016680738
382	0.018522	0.020738261	0.016305739
383	0.0187348	0.020951921	0.016517679
384	0.0188244	0.021073331	0.016575469
385	0.0186578	0.0209725	0.0163431
386	0.0185448	0.020900054	0.016189546
387	0.0185714	0.020921856	0.016220944
388	0.0186698	0.020982287	0.016357313
389	0.0186028	0.020829804	0.016375796
390	0.018566	0.020797186	0.016334814
391	0.0185436	0.020821126	0.016266074
392	0.0185268	0.020853254	0.016200346
393	0.0184062	0.020731438	0.016080962
394	0.0183686	0.020696005	0.016041195
395	0.0184554	0.020796526	0.016114274
396	0.018443	0.020771386	0.016114614
397	0.0185276	0.020855004	0.016200196
398	0.0186406	0.020979817	0.016301383
399	0.0185488	0.020938457	0.016159143
400	0.018512	0.020932066	0.016091934
401	0.0184944	0.020926523	0.016062277
402	0.0184698	0.020877994	0.016061606
403	0.0184478	0.020843282	0.016052318
404	0.0184286	0.020814898	0.016042302
405	0.018412	0.020790737	0.016033263
406	0.0183934	0.020753575	0.016033225
407	0.0183712	0.020742649	0.015999751
408	0.018342	0.020746468	0.015937532
409	0.0182868	0.020702699	0.015870901
410	0.0183538	0.0207707	0.0159369
411	0.018449	0.020867356	0.016030644
412	0.0184732	0.020907483	0.016038917
413	0.0184452	0.020872279	0.016018121
414	0.018434	0.020855933	0.016012067
415	0.018465	0.020893758	0.016036242
416	0.0184056	0.020869678	0.015941522
417	0.0184142	0.020893865	0.015934535
418	0.0184786	0.020958104	0.015999096
419	0.0184732	0.020972226	0.015974174
420	0.0184218	0.020905988	0.015937612
421	0.0183694	0.020831961	0.015906839
422	0.0183908	0.020866385	0.015915215
423	0.018432	0.020936376	0.015927624
424	0.0184526	0.020975689	0.015929511
425	0.0184296	0.020948194	0.015911006
426	0.01842	0.020946665	0.015893335
427	0.018398	0.020927757	0.015868243
428	0.0183708	0.020897914	0.015843686
429	0.0184542	0.020961358	0.015947042
430	0.0184514	0.020980523	0.015922277
431	0.0184118	0.020981174	0.015842426
432	0.018415	0.021011232	0.015818768
433	0.018485	0.021062076	0.015907924
434	0.0185146	0.02107758	0.01595162
435	0.0184406	0.021021143	0.015860057
436	0.0184148	0.021008255	0.015821345
437	0.0184394	0.021040157	0.015838643
438	0.0185038	0.021107358	0.015900242
439	0.0184648	0.021087293	0.015842307
440	0.0184804	0.021123055	0.015837745
441	0.0185134	0.021172103	0.015854697
442	0.0184856	0.021143876	0.015827324
443	0.0184514	0.021104299	0.015798501
444	0.0184436	0.021091749	0.015795451
445	0.0184918	0.021138367	0.015845233
446	0.0184512	0.021108747	0.015793653
447	0.0184448	0.021122486	0.015767114
448	0.0184836	0.021188948	0.015778252
449	0.018448	0.021139108	0.015756892
450	0.0184524	0.021129667	0.015775133
451	0.018482	0.02115133	0.01581267
452	0.0185096	0.021199649	0.015819551
453	0.0184948	0.021208026	0.015781574
454	0.0184816	0.021206827	0.015756373
455	0.0185052	0.021214458	0.015795942
456	0.0184912	0.021210511	0.015771889
457	0.0184892	0.021219694	0.015758706
458	0.0185084	0.021247333	0.015769467
459	0.018523	0.021256761	0.015789239
460	0.0185188	0.021259455	0.015778145
461	0.0185108	0.021269272	0.015752328
462	0.0185506	0.021335918	0.015765282
463	0.0185668	0.021359156	0.015774444
464	0.0185602	0.021353727	0.015766673
465	0.0185192	0.021317586	0.015720814
466	0.0185122	0.021313625	0.015710775
467	0.0185332	0.021338761	0.015727639
468	0.0185842	0.021396118	0.015772282
469	0.0185986	0.021426485	0.015770715
470	0.0185878	0.021426097	0.015749503
471	0.0185646	0.021408566	0.015720634
472	0.0185828	0.021422399	0.015743201
473	0.0185712	0.021414246	0.015728154
474	0.0185598	0.021406971	0.015712629
475	0.0185786	0.021424554	0.015732646
476	0.0185646	0.02143885	0.01569035
477	0.0185664	0.021447927	0.015684873
478	0.0185972	0.021451541	0.015742859
479	0.0186444	0.021512071	0.015776729
480	0.0186476	0.021521392	0.015773808
481	0.0186228	0.021496126	0.015749474
482	0.0186484	0.021510688	0.015786112
483	0.0186612	0.02153664	0.01578576
484	0.018675	0.021574285	0.015775715
485	0.0187084	0.021629591	0.015787209
486	0.01872	0.02163956	0.01580044
487	0.0187108	0.021626647	0.015794953
488	0.0186782	0.021594134	0.015762266
489	0.018714	0.021646082	0.015781918
490	0.018708	0.021652633	0.015763367
491	0.0186734	0.021627115	0.015719685
492	0.0187052	0.021664747	0.015745653
493	0.0187388	0.021700548	0.015777052
494	0.0187642	0.02172828	0.01580012
495	0.018762	0.021735131	0.015788869
496	0.018774	0.021761008	0.015786992
497	0.0187804	0.02177568	0.01578512
498	0.0187736	0.021764515	0.015782685
499	0.0187752	0.02177772	0.01577268
500	0.0187874	0.021792661	0.015782139
501	0.0188084	0.021809359	0.015807441
502	0.0188296	0.021839956	0.015819244
503	0.0188212	0.021841234	0.015801166
504	0.018812	0.021842936	0.015781064
505	0.0188506	0.021893105	0.015808095
506	0.01886	0.021911578	0.015808422
507	0.0188592	0.021915985	0.015802415
508	0.0188542	0.021910977	0.015797423
509	0.0188872	0.021936646	0.015837754
510	0.0189186	0.021969622	0.015867578
511	0.018945	0.022008154	0.015881846
512	0.0189564	0.022031395	0.015881405
513	0.0189538	0.022033479	0.015874121
514	0.0189456	0.022028341	0.015862859
515	0.0189492	0.022043646	0.015854754
516	0.0189638	0.02206308	0.01586452
517	0.0189808	0.022083762	0.015877838
518	0.0189984	0.02210563	0.01589117
519	0.0190184	0.022131192	0.015905608
520	0.0190162	0.022132636	0.015899764
521	0.0189958	0.022113003	0.015878597
522	0.0190482	0.022162192	0.015934208
523	0.0190614	0.022179401	0.015943399
524	0.0190588	0.022186543	0.015931057
525	0.0190856	0.022226879	0.015944321
526	0.0191202	0.022264345	0.015976055
527	0.0191302	0.022274209	0.015986191
528	0.0190888	0.022235241	0.015942359
529	0.0191296	0.022287346	0.015971854
530	0.0191712	0.022338059	0.016004341
531	0.0192014	0.022373527	0.016029273
532	0.0191764	0.022345995	0.016006805
533	0.0191928	0.022369393	0.016016207
534	0.0192322	0.022420683	0.016043717
535	0.0192498	0.02244403	0.01605557
536	0.019267	0.022459586	0.016074414
537	0.0192748	0.022466938	0.016082662
538	0.0192618	0.022462305	0.016061295
539	0.0192772	0.022474682	0.016079718
540	0.0192884	0.022489463	0.016087337
541	0.0192908	0.022506321	0.016075279
542	0.0193148	0.022540857	0.016088743
543	0.0193456	0.022574261	0.016116939
