Wavelength	Mean	Std+	Std-
350	0.01241175	0.016822071	0.008001429
351	0.01232485	0.016736969	0.007912731
352	0.01206905	0.016494512	0.007643588
353	0.0121907	0.01659869	0.00778271
354	0.01227145	0.016659505	0.007883395
355	0.0122807	0.016652514	0.007908886
356	0.0122907	0.01669694	0.00788446
357	0.0123548	0.016745112	0.007964488
358	0.0124078	0.016766613	0.008048987
359	0.0122969	0.016677072	0.007916728
360	0.0122379	0.016614264	0.007861536
361	0.01221955	0.016593541	0.007845559
362	0.01225075	0.016639307	0.007862193
363	0.0121359	0.016560134	0.007711666
364	0.0121886	0.016613382	0.007763818
365	0.01242685	0.016812757	0.008040943
366	0.01235195	0.016747927	0.007955973
367	0.01224155	0.016657769	0.007825331
368	0.01216095	0.016593899	0.007728001
369	0.0123197	0.016723645	0.007915755
370	0.01238335	0.016778769	0.007987931
371	0.01246435	0.016863546	0.008065154
372	0.0126501	0.017064107	0.008236093
373	0.0126062	0.016981316	0.008231084
374	0.01252675	0.016887387	0.008166113
375	0.0124378	0.016821751	0.008053849
376	0.0123169	0.016715767	0.007918033
377	0.012366	0.016772393	0.007959607
378	0.0125133	0.016925699	0.008100901
379	0.0125405	0.016976851	0.008104149
380	0.01259985	0.017031585	0.008168115
381	0.01263185	0.017042801	0.008220899
382	0.0125735	0.016950784	0.008196216
383	0.01267965	0.017066135	0.008293165
384	0.01274035	0.017134464	0.008346236
385	0.0127125	0.017105562	0.008319438
386	0.012555	0.01698025	0.00812975
387	0.0124945	0.016942929	0.008046071
388	0.0125154	0.016980202	0.008050598
389	0.0126093	0.017089741	0.008128859
390	0.01252905	0.016992093	0.008066007
391	0.01245025	0.016894605	0.008005895
392	0.01253875	0.016991264	0.008086236
393	0.01268985	0.017145129	0.008234571
394	0.01274035	0.017193638	0.008287062
395	0.012654	0.017100548	0.008207452
396	0.01270035	0.017165607	0.008235093
397	0.0127322	0.017212982	0.008251418
398	0.0127501	0.017245655	0.008254545
399	0.01274705	0.017269249	0.008224851
400	0.01277315	0.017303263	0.008243037
401	0.01281405	0.017341644	0.008286456
402	0.01286755	0.017384337	0.008350763
403	0.01301465	0.017514405	0.008514895
404	0.01313045	0.017611209	0.008649691
405	0.0131847	0.017645173	0.008724227
406	0.0132348	0.017694039	0.008775561
407	0.01334405	0.017807032	0.008881068
408	0.01348885	0.017959877	0.009017823
409	0.0135463	0.018032119	0.009060481
410	0.01365295	0.018148669	0.009157231
411	0.01377465	0.018278612	0.009270688
412	0.0138823	0.018397111	0.009367489
413	0.0140096	0.018537906	0.009481294
414	0.0141704	0.018712194	0.009628606
415	0.0143795	0.018934567	0.009824433
416	0.01455855	0.019124798	0.009992302
417	0.01472545	0.019307289	0.010143611
418	0.01488615	0.019487943	0.010284357
419	0.01507715	0.019706306	0.010447994
420	0.01527775	0.019935909	0.010619591
421	0.01549375	0.020178918	0.010808582
422	0.01574645	0.020450504	0.011042396
423	0.01592355	0.020652392	0.011194708
424	0.0161031	0.020856855	0.011349345
425	0.0163194	0.021096176	0.011542624
426	0.01649135	0.021288917	0.011693783
427	0.01668845	0.021509006	0.011867894
428	0.01691125	0.021757832	0.012064668
429	0.0170919	0.021972224	0.012211576
430	0.0172508	0.02215964	0.01234196
431	0.01740615	0.022346445	0.012465855
432	0.01759695	0.022590762	0.012603138
433	0.0177408	0.022777422	0.012704178
434	0.01790085	0.022974326	0.012827374
435	0.01811455	0.023220171	0.013008929
436	0.0182524	0.023358909	0.013145891
437	0.0183852	0.023492672	0.013277728
438	0.01852	0.023631736	0.013408264
439	0.0186572	0.0237857	0.0135287
440	0.01882235	0.023966885	0.013677815
441	0.0189861	0.024147619	0.013824581
442	0.0190778	0.024263051	0.013892549
443	0.01922205	0.024429165	0.014014935
444	0.019357	0.024579082	0.014134918
445	0.01944195	0.024666005	0.014217895
446	0.01956605	0.024803518	0.014328582
447	0.01970695	0.024958439	0.014455461
448	0.01985965	0.025124584	0.014594716
449	0.01994775	0.025224496	0.014671004
450	0.02007695	0.025364295	0.014789605
451	0.0202135	0.025509433	0.014917567
452	0.02026325	0.02555993	0.01496657
453	0.0203744	0.025672119	0.015076681
454	0.0204923	0.025795921	0.015188679
455	0.0205783	0.025898713	0.015257887
456	0.02063885	0.025977552	0.015300148
457	0.02071725	0.026070016	0.015364484
458	0.0208204	0.026181967	0.015458833
459	0.02088435	0.026247244	0.015521456
460	0.02095815	0.02632374	0.01559256
461	0.0210399	0.026409195	0.015670605
462	0.02112665	0.026501287	0.015752013
463	0.02117365	0.026554464	0.015792836
464	0.0212283	0.026615138	0.015841462
465	0.0213352	0.026726959	0.015943441
466	0.0213888	0.026785505	0.015992095
467	0.0214606	0.026865793	0.016055407
468	0.02156765	0.026986324	0.016148976
469	0.02160505	0.027035143	0.016174957
470	0.02163495	0.027075322	0.016194578
471	0.0216649	0.027114878	0.016214922
472	0.0217292	0.02718868	0.01626972
473	0.02178465	0.027258272	0.016311028
474	0.02185405	0.027340713	0.016367387
475	0.02196765	0.027459625	0.016475675
476	0.0220122	0.027502072	0.016522328
477	0.02208325	0.027575628	0.016590872
478	0.0222074	0.027710154	0.016704646
479	0.02224625	0.027757158	0.016735342
480	0.0222682	0.027781692	0.016754708
481	0.0222892	0.02780027	0.01677813
482	0.022393	0.027897722	0.016888278
483	0.0224594	0.027960674	0.016958126
484	0.0225136	0.0280126	0.0170146
485	0.0225795	0.028075275	0.017083725
486	0.0226547	0.028163215	0.017146185
487	0.02272945	0.02825891	0.01719999
488	0.02280055	0.028358881	0.017242219
489	0.0228579	0.028443443	0.017272357
490	0.0229524	0.028554576	0.017350224
491	0.02307945	0.028688777	0.017470123
492	0.02322975	0.028837551	0.017621949
493	0.0233628	0.02897932	0.01774628
494	0.02349105	0.029124414	0.017857686
495	0.02362995	0.029290554	0.017969346
496	0.02385235	0.029527621	0.018177079
497	0.02408145	0.029769248	0.018393652
498	0.02429185	0.029993503	0.018590197
499	0.02454165	0.030269544	0.018813756
500	0.0248337	0.030591808	0.019075592
501	0.0251585	0.030951047	0.019365953
502	0.0254442	0.031283602	0.019604798
503	0.02581565	0.031704282	0.019927018
504	0.02622665	0.032167669	0.020285631
505	0.0266318	0.032632151	0.020631449
506	0.02714345	0.033195848	0.021091052
507	0.0276723	0.033779739	0.021564861
508	0.0281882	0.034359798	0.022016602
509	0.02882755	0.035078079	0.022577021
510	0.0295162	0.03584974	0.02318266
511	0.0302485	0.036669489	0.023827511
512	0.0310082	0.037530457	0.024485943
513	0.03184155	0.038468014	0.025215086
514	0.0327385	0.039476423	0.026000577
515	0.0337023	0.040569178	0.026835422
516	0.034744	0.041764105	0.027723895
517	0.03584685	0.043039577	0.028654123
518	0.03701205	0.044398489	0.029625611
519	0.03825255	0.045851754	0.030653346
520	0.03950775	0.047317058	0.031698442
521	0.0407654	0.048776734	0.032754066
522	0.042121	0.050321296	0.033920704
523	0.0434184	0.051804206	0.035032594
524	0.0447039	0.05327818	0.03612962
525	0.04605685	0.054835766	0.037277934
526	0.04741	0.05640187	0.03841813
527	0.04874635	0.057956508	0.039536192
528	0.0500655	0.059501104	0.040629896
529	0.05134505	0.06099417	0.04169593
530	0.05256065	0.062401615	0.042719685
531	0.05370785	0.063716932	0.043698768
532	0.054877	0.06505254	0.04470146
533	0.0559934	0.066341072	0.045645728
534	0.057059	0.067582242	0.046535758
535	0.05803195	0.068727375	0.047336525
536	0.05896095	0.069803805	0.048118095
537	0.05986815	0.0708456	0.0488907
538	0.06076665	0.07187107	0.04966223
539	0.06159625	0.072835419	0.050357081
540	0.06240265	0.073781508	0.051023792
541	0.06318495	0.074706833	0.051663067
542	0.0638915	0.075553554	0.052229446
543	0.0646013	0.076392008	0.052810592
544	0.0653124	0.07722059	0.05340421
545	0.06603705	0.078050174	0.054023926
546	0.0666831	0.078800682	0.054565518
547	0.0672992	0.079521047	0.055077353
