Wavelength	Mean	Std+	Std-
350	0.0239344	0.035382844	0.012485956
351	0.0239464	0.035423286	0.012469514
352	0.02368205	0.035143234	0.012220866
353	0.0235722	0.034939846	0.012204554
354	0.0235433	0.03483802	0.01224858
355	0.02357675	0.034828396	0.012325104
356	0.0235455	0.034833043	0.012257957
357	0.02340085	0.034703012	0.012098688
358	0.0232403	0.034514972	0.011965628
359	0.0232666	0.034398061	0.012135139
360	0.02310005	0.034228838	0.011971262
361	0.02292895	0.034060251	0.011797649
362	0.0228565	0.03391945	0.01179355
363	0.02285865	0.033948238	0.011769062
364	0.02289005	0.034000588	0.011779512
365	0.02293675	0.0340489	0.0118246
366	0.02281455	0.033889788	0.011739312
367	0.02274615	0.033830647	0.011661653
368	0.02271865	0.033809444	0.011627856
369	0.02272755	0.033678802	0.011776298
370	0.02271	0.033596979	0.011823021
371	0.0226959	0.033542456	0.011849344
372	0.02270885	0.033513185	0.011904515
373	0.02251425	0.033439308	0.011589192
374	0.02245895	0.033412447	0.011505453
375	0.0225968	0.033443967	0.011749633
376	0.0223563	0.033263262	0.011449338
377	0.02234215	0.03330684	0.01137746
378	0.0224682	0.033467525	0.011468875
379	0.0224919	0.033407295	0.011576505
380	0.0223744	0.033383876	0.011364924
381	0.0223144	0.033380695	0.011248105
382	0.02250875	0.033384628	0.011632872
383	0.02244565	0.0332693	0.011622
384	0.022399	0.033215973	0.011582027
385	0.0224193	0.033262625	0.011575975
386	0.02236945	0.033267581	0.011471319
387	0.0223222	0.033264589	0.011379811
388	0.022284	0.033255035	0.011312965
389	0.02228805	0.033239076	0.011337024
390	0.0223048	0.033209445	0.011400155
391	0.02233975	0.033207848	0.011471652
392	0.0224084	0.033287573	0.011529227
393	0.02232855	0.033286256	0.011370844
394	0.0222603	0.033206531	0.011314069
395	0.02223895	0.033050297	0.011427603
396	0.02219135	0.033036406	0.011346294
397	0.0222223	0.033129287	0.011315313
398	0.022289	0.033268102	0.011309898
399	0.02226785	0.033274553	0.011261147
400	0.02219235	0.033203664	0.011181036
401	0.02215995	0.033167498	0.011152402
402	0.0222845	0.033289366	0.011279634
403	0.0222766	0.033224144	0.011329056
404	0.02225495	0.033158586	0.011351314
405	0.0222476	0.033137629	0.011357571
406	0.0223003	0.033186208	0.011414392
407	0.022362	0.033265086	0.011458914
408	0.0224253	0.033360093	0.011490507
409	0.0224588	0.033408216	0.011509384
410	0.02252055	0.03347991	0.01156119
411	0.02259535	0.03357478	0.01161592
412	0.0226737	0.033708327	0.011639073
413	0.02275325	0.033789871	0.011716629
414	0.0228721	0.033906939	0.011837261
415	0.0230527	0.034096707	0.012008693
416	0.02315845	0.034234202	0.012082698
417	0.0232573	0.034371845	0.012142755
418	0.0233666	0.03451972	0.01221348
419	0.02360555	0.034746796	0.012464304
420	0.02380675	0.035004379	0.012609121
421	0.0239868	0.035263068	0.012710532
422	0.024162	0.035478756	0.012845244
423	0.0243582	0.035714996	0.013001404
424	0.024556	0.035968277	0.013143723
425	0.02474945	0.036243319	0.013255581
426	0.0249457	0.036479528	0.013411872
427	0.0251859	0.03677795	0.01359385
428	0.02546855	0.037141499	0.013795601
429	0.02571415	0.037481608	0.013946692
430	0.0259566	0.037824384	0.014088816
431	0.02620445	0.038166572	0.014242328
432	0.0264857	0.038510958	0.014460442
433	0.02674055	0.038877573	0.014603527
434	0.02697085	0.039216439	0.014725261
435	0.0271739	0.039499713	0.014848087
436	0.0273854	0.039768741	0.015002059
437	0.0275982	0.040030016	0.015166384
438	0.0278142	0.040291382	0.015337018
439	0.02805005	0.040631449	0.015468651
440	0.02826	0.040920798	0.015599202
441	0.0284444	0.041167985	0.015720815
442	0.02858995	0.041369387	0.015810513
443	0.0287949	0.041655068	0.015934732
444	0.0290039	0.041928782	0.016079018
445	0.0291857	0.042127865	0.016243535
446	0.029362	0.042382719	0.016341281
447	0.02952645	0.042614292	0.016438608
448	0.02968085	0.042816618	0.016545082
449	0.0298779	0.043064865	0.016690935
450	0.03001735	0.043254222	0.016780478
451	0.0301262	0.043405119	0.016847281
452	0.03026255	0.043550378	0.016974722
453	0.03039905	0.043709142	0.017088958
454	0.030535	0.043879888	0.017190112
455	0.030669	0.044066622	0.017271378
456	0.03076295	0.044190498	0.017335402
457	0.03084155	0.044285182	0.017397918
458	0.0309076	0.044353178	0.017462022
459	0.030991	0.04444634	0.01753566
460	0.03102945	0.04451156	0.01754734
461	0.03104955	0.044564846	0.017534254
462	0.03113565	0.044654712	0.017616588
463	0.0311872	0.044713475	0.017660925
464	0.03122195	0.044761306	0.017682594
465	0.03124755	0.044811069	0.017684031
466	0.0312801	0.044828104	0.017732096
467	0.03130395	0.044860291	0.017747609
468	0.03131455	0.044920491	0.017708609
469	0.03137995	0.044977218	0.017782682
470	0.0314375	0.045038751	0.017836249
471	0.0314889	0.045100742	0.017877058
472	0.0315402	0.045143762	0.017936638
473	0.03154775	0.045161708	0.017933792
474	0.0315513	0.045190094	0.017912506
475	0.03158855	0.045269736	0.017907364
476	0.0316279	0.045307514	0.017948286
477	0.03166765	0.04535411	0.01798119
478	0.0317078	0.04542223	0.01799337
479	0.0317307	0.045457097	0.018004303
480	0.031767	0.045492521	0.018041479
481	0.031816	0.045532871	0.018099129
482	0.0318819	0.045604474	0.018159326
483	0.03190865	0.045635382	0.018181918
484	0.0319223	0.045653109	0.018191491
485	0.03194745	0.045685117	0.018209783
486	0.03199555	0.045743344	0.018247756
487	0.03206025	0.045824779	0.018295721
488	0.0321425	0.045932343	0.018352657
489	0.03220385	0.046038103	0.018369597
490	0.03228975	0.046147718	0.018431782
491	0.0323959	0.046259219	0.018532581
492	0.0325041	0.046366696	0.018641504
493	0.0326221	0.046505855	0.018738345
494	0.03275685	0.04667093	0.01884277
495	0.0329291	0.046869446	0.018988754
496	0.03310775	0.047073232	0.019142268
497	0.0332953	0.047284076	0.019306524
498	0.03349595	0.047505768	0.019486132
499	0.03375625	0.047819654	0.019692846
500	0.03402915	0.048144144	0.019914156
501	0.03431875	0.048481706	0.020155794
502	0.03469275	0.048896447	0.020489053
503	0.0350817	0.049363772	0.020799628
504	0.0354877	0.049866229	0.021109171
505	0.03593545	0.050409344	0.021461556
506	0.03647605	0.051044007	0.021908093
507	0.03703575	0.051697991	0.022373509
508	0.037592	0.052351043	0.022832957
509	0.03829385	0.053170747	0.023416953
510	0.03904525	0.054057939	0.024032561
511	0.0398449	0.055011176	0.024678624
512	0.04075085	0.056084791	0.025416909
513	0.0417046	0.057219365	0.026189835
514	0.0427183	0.05843724	0.02699936
515	0.0438354	0.059814602	0.027856198
516	0.0450962	0.061368387	0.028824013
517	0.0464683	0.063060553	0.029876047
518	0.04796305	0.064905672	0.031020428
519	0.04952225	0.066893908	0.032150592
520	0.0511241	0.068919792	0.033328408
521	0.0527488	0.07095345	0.03454415
522	0.0543693	0.073004712	0.035733888
523	0.0559862	0.075056961	0.036915439
524	0.0576211	0.077138831	0.038103369
525	0.05930895	0.079301468	0.039316432
526	0.06102105	0.081503987	0.040538113
527	0.0627047	0.083684534	0.041724866
528	0.06433755	0.085820477	0.042854623
529	0.0658689	0.087842323	0.043895477
530	0.0673029	0.089730894	0.044874906
531	0.06863525	0.091477244	0.045793256
532	0.06991105	0.093162475	0.046659625
533	0.07112245	0.094774744	0.047470156
534	0.0722775	0.096324814	0.048230186
535	0.0733462	0.097780882	0.048911518
536	0.0742968	0.099081422	0.049512178
537	0.075172	0.100275894	0.050068106
538	0.07597715	0.101364098	0.050590202
539	0.076742	0.102423118	0.051060882
540	0.07747455	0.1034468	0.0515023
541	0.0781693	0.104426168	0.051912432
542	0.0788262	0.105375803	0.052276597
543	0.07947965	0.106298912	0.052660388
544	0.0801168	0.107184014	0.053049586
545	0.080693	0.107985546	0.053400454
546	0.0812717	0.108792778	0.053750622
547	0.0818397	0.109587009	0.054092391
548	0.0823807	0.110347363	0.054414037
549	0.08287955	0.11104338	0.05471572
550	0.08333715	0.111681987	0.054992313
551	0.0837496	0.112258549	0.055240651
552	0.08399245	0.112628285	0.055356615
553	0.0841734	0.11289915	0.05544765
554	0.0842821	0.113061825	0.055502375
555	0.08422915	0.113013469	0.055444831
556	0.0840836	0.112824058	0.055343142
557	0.0838507	0.112523546	0.055177854
558	0.083484	0.112078075	0.054889925
559	0.08304705	0.111545356	0.054548744
560	0.0825635	0.110943841	0.054183159
561	0.08203465	0.110270203	0.053799097
562	0.0814105	0.109480179	0.053340821
563	0.0807331	0.108612289	0.052853911
564	0.08000165	0.10766776	0.05233554
565	0.0791958	0.106635049	0.051756551
566	0.07831075	0.105502003	0.051119497
567	0.07735785	0.104280314	0.050435386
568	0.07632165	0.102944616	0.049698684
569	0.07526575	0.101572696	0.048958804
570	0.074186	0.100180416	0.048191584
571	0.0730786	0.098771303	0.047385897
572	0.0720166	0.097404269	0.046628931
573	0.0709932	0.096080186	0.045906214
574	0.07000875	0.094799648	0.045217852
575	0.06908505	0.0935856	0.0445845
576	0.06820665	0.092450903	0.043962397
577	0.06737325	0.091381458	0.043365042
578	0.06662675	0.090413408	0.042840092
579	0.0659556	0.089543334	0.042367866
580	0.06532415	0.088728071	0.041920229
581	0.06472965	0.087965898	0.041493402
582	0.0642121	0.087280288	0.041143912
583	0.06370365	0.086611757	0.040795543
584	0.0632021	0.085958242	0.040445958
585	0.06275375	0.085369231	0.040138269
586	0.06230265	0.084793488	0.039811812
