Wavelength	Mean	Std+	Std-
350	0.0117212	0.013959226	0.009483174
351	0.01166635	0.013921856	0.009410844
352	0.01176725	0.014006808	0.009527692
353	0.01165675	0.013906555	0.009406945
354	0.0116053	0.01386491	0.00934569
355	0.0116368	0.013899828	0.009373772
356	0.01177465	0.013992377	0.009556923
357	0.0118151	0.014011086	0.009619114
358	0.0118241	0.014013486	0.009634714
359	0.0119277	0.01412066	0.00973474
360	0.01192825	0.014112609	0.009743891
361	0.0118773	0.014078038	0.009676562
362	0.0117841	0.014065677	0.009502523
363	0.011852	0.014100926	0.009603074
364	0.011851	0.014090306	0.009611694
365	0.0117667	0.014032767	0.009500633
366	0.0119086	0.014152586	0.009664614
367	0.01195895	0.014190813	0.009727087
368	0.01197595	0.01419901	0.00975289
369	0.01209815	0.014300512	0.009895788
370	0.01192235	0.014162048	0.009682652
371	0.01180745	0.01407671	0.00953819
372	0.01203875	0.014271349	0.009806151
373	0.0121086	0.014318544	0.009898656
374	0.0121422	0.014329291	0.009955109
375	0.0121549	0.014323118	0.009986682
376	0.0121107	0.014368613	0.009852787
377	0.0120093	0.014290856	0.009727744
378	0.0119057	0.014156634	0.009654766
379	0.0120131	0.014251616	0.009774584
380	0.012045	0.014278885	0.009811115
381	0.0120689	0.014306184	0.009831616
382	0.01214095	0.014392683	0.009889217
383	0.0122086	0.014505819	0.009911381
384	0.01221695	0.014522032	0.009911868
385	0.01215335	0.014414327	0.009892373
386	0.01228195	0.01453991	0.01002399
387	0.01238065	0.014630592	0.010130708
388	0.01243565	0.01468048	0.01019082
389	0.01236065	0.014623936	0.010097364
390	0.01239485	0.01465955	0.01013015
391	0.01245025	0.014714717	0.010185783
392	0.0124546	0.014731449	0.010177751
393	0.01257395	0.014878355	0.010269545
394	0.01265895	0.01497635	0.01034155
395	0.0126757	0.014985359	0.010366041
396	0.0127564	0.015074676	0.010438124
397	0.0128174	0.015139561	0.010495239
398	0.0128648	0.015190031	0.010539569
399	0.01291625	0.015252385	0.010580115
400	0.01300505	0.015327767	0.010682333
401	0.01307955	0.015391782	0.010767318
402	0.01308805	0.015420416	0.010755684
403	0.01317975	0.01552571	0.01083379
404	0.01328735	0.015646635	0.010928065
405	0.01339805	0.015771601	0.011024499
406	0.01355995	0.015935678	0.011184222
407	0.0137139	0.016098826	0.011328974
408	0.01386015	0.016259322	0.011460978
409	0.01400785	0.016414442	0.011601258
410	0.0141499	0.016583756	0.011716044
411	0.01430805	0.016771759	0.011844341
412	0.01452515	0.017002514	0.012047786
413	0.0147037	0.017215112	0.012192288
414	0.01489125	0.017433422	0.012349078
415	0.0151083	0.017671414	0.012545186
416	0.0153037	0.017894997	0.012712403
417	0.0155168	0.018137203	0.012896397
418	0.01574885	0.018399453	0.013098247
419	0.01600245	0.018684781	0.013320119
420	0.0162295	0.018956139	0.013502861
421	0.01644835	0.019222651	0.013674049
422	0.0166881	0.019500267	0.013875933
423	0.0169322	0.01977738	0.01408702
424	0.01717655	0.020058941	0.014294159
425	0.0174219	0.020350022	0.014493778
426	0.017615	0.020576724	0.014653276
427	0.0178067	0.020804804	0.014808596
428	0.0180032	0.021041287	0.014965113
429	0.01823655	0.021313861	0.015159239
430	0.01847195	0.021587832	0.015356068
431	0.01870155	0.021858861	0.015544239
432	0.0189116	0.022122532	0.015700668
433	0.01909165	0.022346113	0.015837187
434	0.0192639	0.022556197	0.015971603
435	0.01943895	0.02276395	0.01611395
436	0.01960095	0.022955586	0.016246314
437	0.01978385	0.0231654	0.0164023
438	0.01998455	0.023391149	0.016577951
439	0.0201082	0.02354924	0.01666716
440	0.02024835	0.023727053	0.016769647
441	0.0204021	0.023918968	0.016885232
442	0.02057565	0.024121951	0.017029349
443	0.0207464	0.024323147	0.017169653
444	0.0209076	0.024515328	0.017299872
445	0.02105245	0.02469221	0.01741269
446	0.0212405	0.024908997	0.017572003
447	0.02142315	0.025121507	0.017724793
448	0.02159395	0.025324236	0.017863664
449	0.02172005	0.025485893	0.017954207
450	0.0218717	0.025664433	0.018078967
451	0.0220371	0.025851437	0.018222763
452	0.0221915	0.026027103	0.018355897
453	0.02233935	0.026204611	0.018474089
454	0.02247365	0.026366901	0.018580399
455	0.02258285	0.026494307	0.018671393
456	0.0226858	0.026625986	0.018745614
457	0.0227742	0.026740125	0.018808275
458	0.0228449	0.026830471	0.018859329
459	0.0229316	0.026933446	0.018929754
460	0.0230238	0.027041415	0.019006185
461	0.02311415	0.027147455	0.019080845
462	0.02317145	0.027222191	0.019120709
463	0.0232212	0.027292852	0.019149548
464	0.0232783	0.027369763	0.019186837
465	0.0233588	0.027463463	0.019254137
466	0.02342915	0.027554244	0.019304056
467	0.02349095	0.027632954	0.019348946
468	0.0235434	0.027696022	0.019390778
469	0.0236126	0.02779104	0.01943416
470	0.0236627	0.027863734	0.019461666
471	0.02370445	0.02792585	0.01948305
472	0.0237844	0.028026885	0.019541915
473	0.02386175	0.028117616	0.019605884
474	0.0239295	0.028198665	0.019660335
475	0.0239768	0.028266572	0.019687028
476	0.0240415	0.02834153	0.01974147
477	0.02410685	0.028418081	0.019795619
478	0.0241695	0.02849547	0.01984353
479	0.0242188	0.028561266	0.019876334
480	0.0242781	0.028633698	0.019922502
481	0.02434115	0.028707493	0.019974807
482	0.02437175	0.028749316	0.019994184
483	0.02442455	0.028811726	0.020037374
484	0.0244877	0.028885864	0.020089536
485	0.02454975	0.02896494	0.02013456
486	0.02462205	0.029056129	0.020187971
487	0.0247184	0.029175068	0.020261732
488	0.0248467	0.02933089	0.02036251
489	0.0249758	0.029487103	0.020464497
490	0.0251233	0.029662976	0.020583624
491	0.0252887	0.029857814	0.020719586
492	0.0254935	0.030094018	0.020892982
493	0.0257015	0.030345757	0.021057243
494	0.0259314	0.030626551	0.021236249
495	0.02622555	0.030975231	0.021475869
496	0.02657855	0.031380495	0.021776605
497	0.02694125	0.031805197	0.022077303
498	0.02730015	0.032244463	0.022355837
499	0.027765	0.032785032	0.022744968
500	0.02825915	0.033373006	0.023145294
501	0.02878405	0.034010893	0.023557207
502	0.02940305	0.034752101	0.024053999
503	0.03009855	0.035578984	0.024618116
504	0.03083415	0.036455311	0.025212989
505	0.0315899	0.037369274	0.025810526
506	0.0324859	0.03844345	0.02652835
507	0.0334405	0.03959309	0.02728791
508	0.0344417	0.040809877	0.028073523
509	0.03557705	0.042190175	0.028963925
510	0.03679725	0.043672304	0.029922196
511	0.03810115	0.045256444	0.030945856
512	0.03949495	0.046968795	0.032021105
513	0.04099895	0.04880372	0.03319418
514	0.04259285	0.05074831	0.03443739
515	0.0442641	0.052808803	0.035719397
516	0.0461405	0.055119676	0.037161324
517	0.0481394	0.057583033	0.038695767
518	0.05023795	0.060169588	0.040306312
519	0.0524391	0.062871744	0.042006456
520	0.05462965	0.065575886	0.043683414
521	0.05677815	0.068243804	0.045312496
522	0.0589325	0.070909952	0.046955048
523	0.0610586	0.073536281	0.048580919
524	0.0631833	0.076159893	0.050206707
525	0.0653366	0.078824724	0.051848476
526	0.0674659	0.081467608	0.053464192
527	0.06954	0.084048686	0.055031314
528	0.07154355	0.086549524	0.056537576
529	0.0734141	0.08888173	0.05794647
530	0.0751725	0.091076148	0.059268852
531	0.07681545	0.093128615	0.060502285
532	0.07839045	0.095093084	0.061687816
533	0.0798912	0.096969151	0.062813249
534	0.08132495	0.098766868	0.063883032
535	0.08264765	0.100439514	0.064855786
536	0.0838683	0.101976502	0.065760098
537	0.0850109	0.103416625	0.066605175
538	0.0860682	0.104757792	0.067378608
539	0.08709135	0.106040641	0.068142059
540	0.08809175	0.107294537	0.068888963
541	0.08906285	0.108513484	0.069612216
542	0.0899652	0.109648405	0.070281995
543	0.09086015	0.11077182	0.07094848
544	0.09173415	0.111866559	0.071601741
545	0.09254635	0.112881137	0.072211563
546	0.0933504	0.113883949	0.072816851
547	0.09414895	0.114870901	0.073426999
548	0.09494435	0.115833182	0.074055518
549	0.09563605	0.116692138	0.074579962
550	0.0962714	0.117479809	0.075062991
551	0.09685475	0.118195112	0.075514388
552	0.09729865	0.118733301	0.075863999
553	0.0976555	0.119164949	0.076146051
554	0.0979222	0.119485502	0.076358898
555	0.0980304	0.119611628	0.076449172
556	0.0979787	0.119548149	0.076409251
557	0.09782615	0.119369092	0.076283208
558	0.09757785	0.119088227	0.076067473
559	0.09716655	0.118604701	0.075728399
560	0.09668565	0.118029964	0.075341336
561	0.09615205	0.117382629	0.074921471
562	0.09550715	0.116604254	0.074410046
563	0.0947868	0.115735227	0.073838373
564	0.09399095	0.114774206	0.073207694
565	0.09310075	0.113694322	0.072507178
566	0.09209595	0.11248213	0.07170977
567	0.09101075	0.111175202	0.070846298
568	0.08985485	0.109781306	0.069928394
569	0.08863405	0.108310077	0.068958023
570	0.0873773	0.106798761	0.067955839
571	0.08608995	0.105254471	0.066925429
572	0.08484865	0.103755429	0.065941871
573	0.0836408	0.102289421	0.064992179
574	0.0824687	0.100860258	0.064077142
575	0.0813758	0.099523076	0.063228524
576	0.08030855	0.098232172	0.062384928
577	0.07927805	0.096989716	0.061566384
578	0.0783435	0.095850857	0.060836143
579	0.0774938	0.094811558	0.060176042
580	0.0766761	0.093817335	0.059534865
581	0.07588045	0.092860755	0.058900145
582	0.0752002	0.092025772	0.058374628
583	0.074548	0.091222494	0.057873506
584	0.07391775	0.09044535	0.05739015
585	0.07333745	0.089736103	0.056938797
586	0.0728056	0.089081179	0.056530021
587	0.0722973	0.088454355	0.056140245
588	0.07179695	0.08784429	0.05574961
589	0.07139495	0.087343325	0.055446575
590	0.0710148	0.086871609	0.055157991
591	0.0706317	0.086407298	0.054856102
592	0.0703493	0.086057229	0.054641371
593	0.07008925	0.085736321	0.054442179
594	0.0698451	0.085436764	0.054253436
595	0.0696486	0.085190229	0.054106971
596	0.069466	0.084953025	0.053978975
597	0.06928835	0.084717986	0.053858714
598	0.0690977	0.084470559	0.053724841
599	0.06888625	0.084211098	0.053561402
600	0.0686432	0.083916241	0.053370159
601	0.0683526	0.083562005	0.053143195
602	0.06800495	0.083135858	0.052874042
603	0.06762565	0.082669599	0.052581701
604	0.0672136	0.082161985	0.052265215
605	0.0667223	0.08155413	0.05189047
606	0.06618815	0.080899447	0.051476853
607	0.0656061	0.080189651	0.051022549
608	0.06495425	0.079394886	0.050513614
609	0.06428905	0.078579526	0.049998574
610	0.06360665	0.077746977	0.049466323
611	0.062908	0.076905973	0.048910027
612	0.0622323	0.076074887	0.048389713
613	0.0615788	0.075264226	0.047893374
614	0.06094865	0.074477502	0.047419798
615	0.06030535	0.073702426	0.046908274
616	0.0597096	0.07298315	0.04643605
617	0.05916135	0.072319047	0.046003653
618	0.05868305	0.071735602	0.045630498
619	0.0582371	0.071190645	0.045283555
620	0.05784775	0.070710563	0.044984937
621	0.05756195	0.070346974	0.044776926
622	0.05728355	0.070013336	0.044553764
623	0.0570625	0.06973921	0.04438579
624	0.0569157	0.06953843	0.04429297
625	0.0567626	0.069365066	0.044160134
626	0.0566713	0.06925732	0.04408528
627	0.05662655	0.069198599	0.044054501
628	0.05659	0.069145991	0.044034009
629	0.0565577	0.069112583	0.044002817
630	0.05651695	0.069074989	0.043958911
631	0.05645115	0.069009298	0.043893002
632	0.05631265	0.068839242	0.043786058
633	0.0561326	0.068615928	0.043649272
634	0.05591405	0.068345621	0.043482479
635	0.05557525	0.067933776	0.043216724
636	0.0551445	0.067411709	0.042877291
637	0.0546299	0.066790085	0.042469715
638	0.05401435	0.066052892	0.041975808
639	0.05334735	0.065238719	0.041455981
640	0.0526244	0.064353511	0.040895289
641	0.05180975	0.063364062	0.040255438
642	0.05095865	0.062329754	0.039587546
643	0.050105	0.061291479	0.038918521
644	0.04925	0.060250541	0.038249459
645	0.0484099	0.059225522	0.037594278
646	0.0475851	0.058226269	0.036943931
647	0.04678775	0.057263947	0.036311553
648	0.0461195	0.056441103	0.035797897
649	0.0455105	0.055695412	0.035325588
650	0.04495025	0.05501629	0.03488421
651	0.04444395	0.054416485	0.034471415
652	0.0440236	0.05390172	0.03414548
653	0.0436028	0.053390247	0.033815353
654	0.04314395	0.052844247	0.033443653
655	0.0426454	0.052228092	0.033062708
656	0.04203705	0.051484889	0.032589211
657	0.04134325	0.050646783	0.032039717
658	0.0405364	0.04968191	0.03139089
659	0.0397328	0.048709979	0.030755621
660	0.03891995	0.04772549	0.03011441
661	0.0380698	0.046704099	0.029435501
662	0.037226	0.045688087	0.028763913
663	0.03641715	0.044710441	0.028123859
664	0.03566705	0.043796753	0.027537347
665	0.03497925	0.042966567	0.026991933
666	0.0343596	0.042216111	0.026503089
667	0.03380635	0.04154369	0.02606901
668	0.03332455	0.040962945	0.025686155
669	0.03292125	0.040476304	0.025366196
670	0.03258985	0.040074011	0.025105689
671	0.03236535	0.039791801	0.024938899
672	0.03215305	0.039531615	0.024774485
673	0.0319809	0.039320302	0.024641498
674	0.0318755	0.039186791	0.024564209
675	0.03186085	0.039153247	0.024568453
676	0.0318608	0.039142441	0.024579159
677	0.0318786	0.039158095	0.024599105
678	0.03206115	0.039350065	0.024772235
679	0.03233875	0.03966176	0.02501574
680	0.0327131	0.040091977	0.025334223
681	0.0332518	0.040716766	0.025786834
682	0.0340743	0.041667334	0.026481266
683	0.0351037	0.04286779	0.02733961
684	0.0363904	0.04439116	0.02838964
685	0.0382331	0.04655898	0.02990722
686	0.04055295	0.049309303	0.031796597
687	0.04334425	0.052650809	0.034037691
688	0.0465703	0.05654731	0.03659329
689	0.05024465	0.06099381	0.03949549
690	0.05431665	0.065931468	0.042701832
691	0.0591331	0.071756579	0.046509621
692	0.0646073	0.078365869	0.050848731
693	0.0705823	0.085579454	0.055585146
694	0.07709925	0.093435319	0.060763181
695	0.0841165	0.101845528	0.066387472
696	0.09134085	0.110475951	0.072205749
697	0.09886045	0.11942693	0.07829397
698	0.10692	0.128942752	0.084897248
699	0.11517865	0.138658815	0.091698485
700	0.12362435	0.148559118	0.098689582
701	0.13228175	0.158633533	0.105929967
702	0.14097835	0.168694904	0.113261796
703	0.14962965	0.17865769	0.12060161
704	0.1583184	0.188601215	0.128035585
705	0.1670667	0.19854478	0.13558862
706	0.1758422	0.208466844	0.143217556
707	0.18463925	0.218357989	0.150920511
708	0.19346765	0.228223612	0.158711688
709	0.20230625	0.238054217	0.166558283
710	0.21116175	0.247859153	0.174464347
711	0.22009515	0.257684338	0.182505962
712	0.22891775	0.267353612	0.190481888
713	0.23766805	0.276906425	0.198429675
714	0.2464278	0.286400553	0.206455047
715	0.2549257	0.295537597	0.214313803
716	0.2637882	0.305053253	0.222523147
717	0.2731349	0.315090411	0.231179389
718	0.28254985	0.325190994	0.239908706
719	0.2919533	0.335264818	0.248641782
720	0.30065335	0.344552488	0.256754212
721	0.30885015	0.353157063	0.264543237
722	0.31698335	0.361701772	0.272264928
723	0.3254358	0.370598679	0.280272921
724	0.33377525	0.379408831	0.288141669
725	0.3416647	0.387681598	0.295647802
726	0.34929595	0.39566726	0.30292464
727	0.35677935	0.403489258	0.310069442
728	0.36391865	0.410955868	0.316881432
729	0.3708722	0.418218988	0.323525412
730	0.37754225	0.425177549	0.329906951
731	0.3838789	0.431781395	0.335976405
732	0.38981985	0.437939319	0.341700381
733	0.3954388	0.443747901	0.347129699
734	0.40083685	0.449325099	0.352348601
735	0.4059498	0.454633421	0.357266179
736	0.4108317	0.459698064	0.361965336
737	0.4154504	0.464473053	0.366427747
738	0.4197412	0.468918214	0.370564186
739	0.4238302	0.473149552	0.374510848
740	0.4277098	0.477159908	0.378259692
741	0.43133845	0.480920208	0.381756692
742	0.43470525	0.48439522	0.38501528
743	0.4378573	0.487643688	0.388070912
744	0.44077445	0.490657616	0.390891284
745	0.4434569	0.493412526	0.393501274
746	0.4459749	0.495989988	0.395959812
747	0.4483275	0.498390483	0.398264517
748	0.4504553	0.500572686	0.400337914
749	0.45244605	0.502610975	0.402281125
750	0.45429115	0.504495892	0.404086408
751	0.4559434	0.506182872	0.405703928
752	0.45750825	0.507780532	0.407235968
753	0.4589867	0.50928643	0.40868697
754	0.46033735	0.510646531	0.410028169
755	0.4615629	0.51188482	0.41124098
756	0.4626085	0.512904498	0.412312502
757	0.46343095	0.513619739	0.413242161
758	0.4629892	0.512865254	0.413113146
759	0.46261895	0.512348979	0.412888921
760	0.46286125	0.512870658	0.412851842
761	0.4642377	0.514325447	0.414149953
762	0.465379	0.515512449	0.415245551
