Wavelength	Mean	Std+	Std-
350	0.0136874	0.017722939	0.009651861
351	0.01349845	0.017506246	0.009490654
352	0.0133985	0.017417185	0.009379815
353	0.01362675	0.01763791	0.00961559
354	0.0136995	0.017698826	0.009700174
355	0.01357715	0.017560736	0.009593564
356	0.01321725	0.017152083	0.009282417
357	0.0132075	0.017117562	0.009297438
358	0.01333875	0.017237619	0.009439881
359	0.01324655	0.017129632	0.009363468
360	0.01314245	0.017040779	0.009244121
361	0.0130686	0.016964157	0.009173043
362	0.01305965	0.016897326	0.009221974
363	0.0128731	0.016730431	0.009015769
364	0.0128225	0.016678358	0.008966642
365	0.0129354	0.016759137	0.009111663
366	0.0129579	0.016792912	0.009122888
367	0.0130289	0.016846964	0.009210836
368	0.0130801	0.016867801	0.009292399
369	0.0129023	0.016677659	0.009126941
370	0.01276355	0.016522298	0.009004802
371	0.0127418	0.016493348	0.008990252
372	0.0129421	0.016710575	0.009173625
373	0.0128823	0.01665711	0.00910749
374	0.0128281	0.016603709	0.009052491
375	0.0128172	0.016588556	0.009045844
376	0.0126763	0.016433167	0.008919433
377	0.0126466	0.016395084	0.008898116
378	0.01273165	0.016477114	0.008986186
379	0.0130141	0.016764569	0.009263631
380	0.0128303	0.016575441	0.009085159
381	0.01264525	0.016384908	0.008905592
382	0.01286235	0.016604227	0.009120473
383	0.0130883	0.016829322	0.009347278
384	0.01308115	0.016822271	0.009340029
385	0.01278335	0.016526365	0.009040335
386	0.01275575	0.016519069	0.008992431
387	0.01271995	0.016481818	0.008958082
388	0.01267925	0.016426816	0.008931684
389	0.01264045	0.016392263	0.008888637
390	0.01292535	0.01668181	0.00916889
391	0.0131259	0.016887034	0.009364766
392	0.01282065	0.016586887	0.009054413
393	0.01303325	0.016815282	0.009251218
394	0.01322845	0.017031392	0.009425508
395	0.01328975	0.017117257	0.009462243
396	0.0132723	0.017122562	0.009422038
397	0.01332565	0.017204476	0.009446824
398	0.0134294	0.017339312	0.009519488
399	0.01356055	0.017496824	0.009624276
400	0.0136097	0.017570264	0.009649136
401	0.01364725	0.017633139	0.009661361
402	0.0137404	0.017758586	0.009722214
403	0.01390815	0.017944634	0.009871666
404	0.0140766	0.018137681	0.010015519
405	0.01423215	0.018330439	0.010133861
406	0.01439215	0.018540605	0.010243695
407	0.01455125	0.018756408	0.010346092
408	0.01471955	0.018985689	0.010453411
409	0.0149685	0.019289352	0.010647648
410	0.0151849	0.019564598	0.010805202
411	0.0154077	0.01985078	0.01096462
412	0.0156971	0.020214005	0.011180195
413	0.01597	0.020552716	0.011387284
414	0.0162226	0.020869414	0.011575786
415	0.0164541	0.021166364	0.011741836
416	0.01676525	0.021544574	0.011985926
417	0.0170143	0.021866929	0.012161671
418	0.0172135	0.02214339	0.01228361
419	0.0174887	0.022485597	0.012491803
420	0.01780555	0.022878192	0.012732908
421	0.0181329	0.023282945	0.012982855
422	0.0184315	0.023650682	0.013212318
423	0.01873135	0.024011515	0.013451185
424	0.01899925	0.024339891	0.013658609
425	0.01921625	0.024620727	0.013811773
426	0.01948815	0.024946194	0.014030106
427	0.01974985	0.025263129	0.014236571
428	0.019998	0.025569148	0.014426852
429	0.02024175	0.025876066	0.014607434
430	0.02046265	0.026156554	0.014768746
431	0.0206765	0.026426148	0.014926852
432	0.0209178	0.026718267	0.015117333
433	0.0211243	0.02698005	0.01526855
434	0.0213252	0.027230602	0.015419798
435	0.02153705	0.027481082	0.015593018
436	0.021654	0.02762334	0.01568466
437	0.02179055	0.027786586	0.015794514
438	0.0219542	0.0279793	0.0159291
439	0.02209495	0.028144095	0.016045805
440	0.0222162	0.028292283	0.016140117
441	0.02233305	0.0284367	0.0162294
442	0.0224843	0.028614047	0.016354553
443	0.0226205	0.028776016	0.016464984
444	0.0227436	0.028924503	0.016562697
