Wavelength	Mean	Std+	Std-
350	0.0084542	0.01094293	0.00596547
351	0.0080952	0.010607731	0.005582669
352	0.0083998	0.011009758	0.005789842
353	0.0083012	0.011014543	0.005587857
354	0.0081052	0.010807941	0.005402459
355	0.0078984	0.010491703	0.005305097
356	0.0084906	0.011107754	0.005873446
357	0.0084322	0.01099466	0.00586974
358	0.0081364	0.010643759	0.005629041
359	0.0083612	0.011002714	0.005719686
360	0.008323	0.010958297	0.005687703
361	0.008199	0.010792817	0.005605183
362	0.0080558	0.010616056	0.005495544
363	0.0083792	0.010964733	0.005793667
364	0.0085942	0.011171879	0.006016521
365	0.0086232	0.011156674	0.006089726
366	0.0083532	0.010970518	0.005735882
367	0.0084076	0.011045541	0.005769659
368	0.0085736	0.011198229	0.005948971
369	0.0083344	0.010948357	0.005720443
370	0.0084406	0.011058205	0.005822995
371	0.0086426	0.011275868	0.006009332
372	0.008802	0.011463445	0.006140555
373	0.0083406	0.010941042	0.005740158
374	0.00832	0.010906682	0.005733318
375	0.00891	0.011551276	0.006268724
376	0.008619	0.011274881	0.005963119
377	0.0084404	0.011108316	0.005772484
378	0.0083818	0.011055676	0.005707924
379	0.0085552	0.011200887	0.005909513
380	0.0084786	0.011220696	0.005736504
381	0.0084136	0.011245315	0.005581885
382	0.008592	0.011394245	0.005789755
383	0.008751	0.011471825	0.006030175
384	0.0088142	0.011480099	0.006148301
385	0.0087652	0.011424749	0.006105651
386	0.0091402	0.011797575	0.006482825
387	0.0090336	0.011758427	0.006308773
388	0.0086682	0.011489054	0.005847346
389	0.008793	0.011588416	0.005997584
390	0.008876	0.011682936	0.006069064
391	0.0088946	0.011717895	0.006071305
392	0.008798	0.011612021	0.005983979
393	0.0089502	0.011784856	0.006115544
394	0.009004	0.011823638	0.006184362
395	0.0088832	0.011638601	0.006127799
396	0.0089126	0.011711997	0.006113203
397	0.0091378	0.01195489	0.00632071
398	0.0093962	0.012221432	0.006570968
399	0.0091038	0.011991395	0.006216205
400	0.0091278	0.012008397	0.006247203
401	0.009226	0.01208237	0.00636963
402	0.0092078	0.012063447	0.006352153
403	0.0092936	0.012177101	0.006410099
404	0.0093306	0.012244803	0.006416397
405	0.0092772	0.012218434	0.006335966
406	0.009392	0.012363	0.006421
407	0.0095354	0.012531338	0.006539462
408	0.0096814	0.012697446	0.006665354
409	0.0096982	0.012726264	0.006670136
410	0.0097854	0.012827166	0.006743634
411	0.009879	0.012937098	0.006820902
412	0.0099064	0.012986617	0.006826183
413	0.0100642	0.013174718	0.006953682
414	0.0101852	0.013329379	0.007041021
415	0.010211	0.013392676	0.007029324
416	0.010467	0.013667625	0.007266375
417	0.0106522	0.013884114	0.007420286
418	0.0107694	0.014041527	0.007497273
419	0.010925	0.014211769	0.007638231
420	0.0111168	0.014440905	0.007792695
421	0.0113198	0.014694456	0.007945144
422	0.011503	0.014933817	0.008072183
423	0.0117104	0.01519988	0.00822092
424	0.0119128	0.015457421	0.008368179
425	0.0120978	0.015691844	0.008503756
426	0.0122234	0.01583912	0.00860768
427	0.0124334	0.016091028	0.008775772
428	0.0127212	0.016443539	0.008998861
429	0.0128566	0.016660944	0.009052256
430	0.013041	0.016894723	0.009187277
431	0.0132732	0.017170137	0.009376263
432	0.0135858	0.017563647	0.009607953
433	0.013722	0.017767079	0.009676921
434	0.01388	0.017985249	0.009774751
435	0.0141658	0.018324886	0.010006714
436	0.014325	0.018517276	0.010132724
437	0.0145032	0.018740971	0.010265429
438	0.014713	0.019008724	0.010417276
439	0.0149358	0.019273375	0.010598225
440	0.015106	0.019500621	0.010711379
441	0.015245	0.019699483	0.010790517
442	0.0153848	0.019866756	0.010902844
443	0.0155914	0.020128309	0.011054491
444	0.0157558	0.02035192	0.01115968
445	0.0157978	0.020443914	0.011151686
446	0.0160294	0.02070852	0.01135028
447	0.0162172	0.020930426	0.011503974
448	0.0163358	0.021088753	0.011582847
449	0.0164732	0.021280281	0.011666119
450	0.0166694	0.021519152	0.011819648
451	0.016866	0.021749141	0.011982859
452	0.0168902	0.021802491	0.011977909
453	0.0169964	0.021946624	0.012046176
454	0.0171164	0.022098332	0.012134468
455	0.0172042	0.022197324	0.012211076
456	0.017319	0.022322903	0.012315097
457	0.017468	0.022494846	0.012441154
458	0.0176478	0.02271184	0.01258376
459	0.0176126	0.022706661	0.012518539
460	0.0176736	0.022799036	0.012548164
461	0.0177884	0.02294327	0.01263353
462	0.0178344	0.023004113	0.012664687
463	0.0178506	0.023020621	0.012680579
464	0.0179052	0.023074749	0.012735651
465	0.018075	0.02325632	0.01289368
466	0.0181232	0.023336517	0.012909883
467	0.0181388	0.023385389	0.012892211
468	0.0181382	0.023413928	0.012862472
469	0.018166	0.023440377	0.012891623
470	0.018171	0.023442285	0.012899715
471	0.0181852	0.023458199	0.012912201
472	0.0183628	0.023672473	0.013053127
473	0.018425	0.023754779	0.013095221
474	0.0184476	0.023789851	0.013105349
475	0.0184912	0.023843695	0.013138705
476	0.0185968	0.023978446	0.013215154
477	0.0186512	0.024039625	0.013262775
478	0.0186226	0.023982513	0.013262687
479	0.0187228	0.02411427	0.01333133
480	0.0187984	0.024208138	0.013388662
481	0.0188382	0.024255736	0.013420664
482	0.018781	0.02421998	0.01334202
483	0.018838	0.024300581	0.013375419
484	0.018926	0.024405331	0.013446669
485	0.018951	0.024426783	0.013475217
486	0.0190272	0.024523965	0.013530435
487	0.0190886	0.024608451	0.013568749
488	0.0191124	0.024649149	0.013575651
489	0.0191764	0.024723325	0.013629475
490	0.0192498	0.024818578	0.013681022
491	0.0193304	0.024930379	0.013730421
492	0.0194248	0.025051992	0.013797608
493	0.01955	0.025195599	0.013904401
494	0.0196918	0.02535803	0.01402557
495	0.0198412	0.025549999	0.014132401
496	0.0199638	0.02570732	0.01422028
497	0.020105	0.02589402	0.01431598
498	0.0202866	0.026142281	0.014430919
499	0.020534	0.026431346	0.014636654
500	0.0207674	0.026711708	0.014823092
501	0.0209896	0.026988963	0.014990237
502	0.0212596	0.027347042	0.015172158
503	0.0215744	0.027751662	0.015397138
504	0.0219094	0.028173412	0.015645388
505	0.0222424	0.028581825	0.015902975
506	0.0226594	0.029098292	0.016220508
507	0.0230992	0.029644168	0.016554232
508	0.0235458	0.030200221	0.016891379
509	0.0240716	0.030866991	0.017276209
510	0.0246704	0.031607803	0.017732997
511	0.0253316	0.032413433	0.018249767
512	0.0259312	0.033197469	0.018664931
513	0.0266068	0.034065284	0.019148316
514	0.0273482	0.035007548	0.019688852
515	0.028163	0.036034568	0.020291432
516	0.0290318	0.037127172	0.020936428
517	0.029984	0.03833023	0.02163777
518	0.0310566	0.039694729	0.022418471
519	0.0320446	0.04098589	0.02310331
520	0.0330862	0.042330021	0.023842379
521	0.0341798	0.043723813	0.024635787
522	0.035255	0.045126386	0.025383614
523	0.0362916	0.046491697	0.026091503
524	0.0373348	0.047865289	0.026804311
525	0.0384824	0.049341188	0.027623612
526	0.039563	0.050757765	0.028368235
527	0.0405882	0.052119363	0.029057037
528	0.0415562	0.053422349	0.029690051
529	0.0425518	0.054727389	0.030376211
530	0.0435112	0.055986497	0.031035903
531	0.0444236	0.05719095	0.03165625
532	0.045275	0.058326759	0.032223241
533	0.046084	0.059410108	0.032757892
534	0.0468548	0.060445651	0.033263949
535	0.047564	0.06140211	0.03372589
536	0.0482596	0.062324236	0.034194964
537	0.0489122	0.063198255	0.034626145
538	0.0494858	0.063998904	0.034972696
539	0.050084	0.06480818	0.03535982
540	0.0506782	0.065606756	0.035749644
541	0.0512578	0.066383267	0.036132333
542	0.051718	0.067041059	0.036394941
543	0.0522498	0.067759996	0.036739604
544	0.052811	0.068500272	0.037121728
545	0.0532666	0.069138047	0.037395153
546	0.0537296	0.069779438	0.037679762
547	0.0542234	0.070446321	0.038000479
548	0.0547868	0.071174946	0.038398654
549	0.0551764	0.071716295	0.038636505
550	0.055564	0.072252542	0.038875458
551	0.0559852	0.072819847	0.039150553
552	0.0563046	0.073245822	0.039363378
553	0.0565164	0.073544716	0.039488084
554	0.056652	0.073746957	0.039557043
555	0.056817	0.073941129	0.039692871
556	0.056849	0.073984537	0.039713463
557	0.056796	0.073927801	0.039664199
558	0.0566604	0.073766963	0.039553837
559	0.0565004	0.073537599	0.039463201
560	0.0562794	0.073239822	0.039318978
561	0.0559776	0.072863281	0.039091919
562	0.0556758	0.072449105	0.038902495
563	0.0552988	0.071952941	0.038644659
564	0.054855	0.071380226	0.038329774
565	0.0543832	0.070747262	0.038019138
566	0.0538874	0.070070191	0.037704609
567	0.0533364	0.069323671	0.037349129
568	0.0526632	0.068442384	0.036884016
569	0.052042	0.067614693	0.036469307
570	0.0514192	0.066777643	0.036060757
571	0.0507796	0.065912088	0.035647112
572	0.0500798	0.065014121	0.035145479
573	0.0494386	0.064179853	0.034697347
574	0.0488528	0.063406737	0.034298863
575	0.048285	0.06266335	0.03390665
576	0.04777	0.061975522	0.033564478
577	0.0472978	0.06133707	0.03325853
578	0.046887	0.060781746	0.032992254
579	0.0464684	0.060252466	0.032684334
580	0.0460664	0.059741988	0.032390812
581	0.0456958	0.05925398	0.03213762
582	0.045374	0.058835265	0.031912735
583	0.0450714	0.058436048	0.031706752
584	0.0447896	0.058056436	0.031522764
585	0.0445876	0.05775948	0.03141572
586	0.044345	0.057447928	0.031242072
587	0.0440994	0.05714434	0.03105446
588	0.0439348	0.056913094	0.030956506
589	0.043753	0.056688836	0.030817164
590	0.0435684	0.056466629	0.030670171
591	0.0433894	0.056246183	0.030532617
592	0.0433478	0.056182794	0.030512806
593	0.043285	0.056097763	0.030472237
594	0.0431932	0.055982005	0.030404395
595	0.0431302	0.055908738	0.030351662
596	0.0431338	0.055903635	0.030363965
597	0.0431578	0.055917976	0.030397624
598	0.043106	0.05584523	0.03036677
599	0.0430202	0.055750167	0.030290233
600	0.0429424	0.055665817	0.030218983
601	0.0429016	0.055617993	0.030185207
602	0.0426986	0.055388348	0.030008852
603	0.0425336	0.055182845	0.029884355
604	0.042422	0.055018389	0.029825611
605	0.0421844	0.054712673	0.029656127
606	0.0419364	0.054398713	0.029474087
607	0.041686	0.054078895	0.029293105
608	0.0414674	0.053770598	0.029164202
609	0.0411438	0.05336214	0.02892546
610	0.0408272	0.052958019	0.028696381
611	0.0406106	0.052645003	0.028576197
612	0.0402496	0.052188257	0.028310943
613	0.0399214	0.051778453	0.028064347
614	0.0396582	0.051449784	0.027866616
615	0.0395082	0.051206824	0.027809576
616	0.039273	0.050900159	0.027645841
617	0.0389988	0.05056764	0.02742996
618	0.0388248	0.050330238	0.027319362
619	0.0386824	0.050130236	0.027234564
620	0.03853	0.049925511	0.027134489
621	0.0383288	0.049680789	0.026976811
622	0.0383726	0.049696484	0.027048716
623	0.0384006	0.049710586	0.027090614
624	0.0383602	0.049672324	0.027048076
625	0.0383658	0.049676116	0.027055484
626	0.0384072	0.049728636	0.027085764
627	0.0384636	0.049803312	0.027123888
628	0.038453	0.049799912	0.027106088
629	0.0385472	0.049924364	0.027170036
630	0.0386522	0.05006509	0.02723931
631	0.038686	0.050126822	0.027245178
632	0.0386254	0.05004968	0.02720112
633	0.0385964	0.05000281	0.02718999
634	0.0386266	0.050022563	0.027230637
635	0.038452	0.049848914	0.027055086
636	0.0382872	0.049638748	0.026935652
637	0.0381266	0.0493998	0.0268534
638	0.0379344	0.049141634	0.026727166
639	0.0376144	0.048736914	0.026491886
640	0.0372678	0.048302709	0.026232891
641	0.036995	0.047958054	0.026031946
642	0.0366072	0.047458105	0.025756295
643	0.0362176	0.046953246	0.025481954
644	0.0358514	0.046477098	0.025225702
645	0.0355546	0.046063525	0.025045675
646	0.0351972	0.045595837	0.024798563
647	0.0348068	0.045105547	0.024508053
648	0.0345618	0.0447993	0.0243243
649	0.034334	0.044501221	0.024166779
650	0.0340978	0.044199274	0.023996326
651	0.0338068	0.043868318	0.023745282
652	0.0336502	0.043665019	0.023635381
653	0.0335084	0.043464491	0.023552309
654	0.0333414	0.043222083	0.023460717
655	0.033111	0.042948656	0.023273344
656	0.0328398	0.042625388	0.023054212
657	0.0325362	0.042256509	0.022815891
658	0.0321638	0.041778107	0.022549493
659	0.0317692	0.041275968	0.022262432
660	0.0313828	0.040778345	0.021987255
661	0.0310566	0.040328775	0.021784425
662	0.0306934	0.039885003	0.021501797
663	0.0303432	0.039447773	0.021238627
664	0.0300324	0.039020713	0.021044087
665	0.0297272	0.038638611	0.020815789
666	0.0294534	0.038297942	0.020608858
667	0.0292194	0.038004077	0.020434723
668	0.0291108	0.037840043	0.020381557
669	0.0289702	0.037660976	0.020279424
670	0.0288292	0.037493638	0.020164762
671	0.0287502	0.03739929	0.02010111
672	0.028714	0.03734932	0.02007868
673	0.0286848	0.037317411	0.020052189
674	0.0286462	0.037297297	0.019995103
675	0.0286916	0.037341494	0.020041706
676	0.02875	0.037410804	0.020089196
677	0.0288184	0.037505554	0.020131246
678	0.0289556	0.037691751	0.020219449
679	0.0291412	0.037946401	0.020335999
680	0.0293598	0.03825166	0.02046794
681	0.029593	0.03859093	0.02059507
682	0.030073	0.03920123	0.02094477
683	0.0306716	0.039956879	0.021386321
684	0.031369	0.040851752	0.021886248
685	0.0323368	0.042104437	0.022569163
686	0.0336128	0.043791461	0.023434139
687	0.0352044	0.045928874	0.024479926
688	0.0369572	0.048271124	0.025643276
689	0.038942	0.05090393	0.02698007
690	0.0411368	0.053801862	0.028471738
691	0.0437896	0.057291199	0.030288001
692	0.0467612	0.061265949	0.032256451
693	0.0500686	0.065697442	0.034439758
694	0.0538498	0.070735262	0.036964338
695	0.0578234	0.076084459	0.039562341
696	0.0619512	0.081658605	0.042243795
697	0.0662974	0.087539976	0.045054824
698	0.071034	0.0939449	0.0481231
699	0.075891	0.10055081	0.05123119
700	0.0808798	0.107365759	0.054393841
701	0.0860952	0.114509443	0.057680957
702	0.0914174	0.121780505	0.061054295
703	0.0967606	0.129093426	0.064427774
704	0.1021592	0.136525495	0.067792905
705	0.107773	0.14423275	0.07131325
706	0.113433	0.152014047	0.074851953
707	0.1191142	0.159840956	0.078387444
708	0.1250092	0.167959012	0.082059388
709	0.1309742	0.17617412	0.08577428
710	0.1370008	0.184481224	0.089520376
711	0.143101	0.192928364	0.093273636
712	0.1493098	0.201494002	0.097125598
713	0.1555354	0.210075451	0.100995349
714	0.1617494	0.218650124	0.104848676
715	0.1677862	0.227002746	0.108569654
716	0.1741024	0.235748361	0.112456439
717	0.180801	0.245023708	0.116578292
718	0.1876048	0.254466338	0.120743262
719	0.1945984	0.264107804	0.125088996
720	0.2012564	0.273231889	0.129280911
721	0.2075824	0.281851886	0.133312914
722	0.213765	0.290315603	0.137214397
723	0.2201256	0.299039878	0.141211322
724	0.2264294	0.30767981	0.14517899
725	0.23245	0.315894786	0.149005214
726	0.2383272	0.32388638	0.15276802
727	0.244139	0.331757356	0.156520644
728	0.2497106	0.339270656	0.160150544
729	0.2551072	0.346564344	0.163650056
730	0.2602838	0.353564295	0.167003305
731	0.265369	0.360350564	0.170387436
732	0.270062	0.366604704	0.173519296
733	0.2744482	0.372454043	0.176442357
734	0.278583	0.377989478	0.179176522
735	0.2825432	0.383252847	0.181833553
736	0.286307	0.388243156	0.184370844
737	0.2898254	0.392900963	0.186749837
738	0.2930396	0.397192221	0.188886979
739	0.2961158	0.401269996	0.190961604
740	0.2990396	0.405117731	0.192961469
741	0.3016884	0.408613464	0.194763336
742	0.3042232	0.411937068	0.196509332
743	0.306607	0.415065676	0.198148324
744	0.3087052	0.417865277	0.199545123
745	0.3106452	0.420426295	0.200864105
746	0.312474	0.422823148	0.202124852
747	0.314191	0.425056838	0.203325162
748	0.3156986	0.427041929	0.204355271
749	0.317131	0.428907915	0.205354085
750	0.31848	0.43064629	0.20631371
751	0.3196502	0.432196493	0.207103907
752	0.320752	0.43364874	0.20785526
753	0.3217906	0.435011009	0.208570191
754	0.3227444	0.436250811	0.209237989
755	0.3235834	0.437347267	0.209819533
