Wavelength	Mean	Std+	Std-
350	0.0153872	0.020310537	0.010463863
351	0.0153276	0.020295708	0.010359492
352	0.0158158	0.020846825	0.010784775
353	0.0157458	0.020650999	0.010840601
354	0.0156624	0.020526174	0.010798626
355	0.0156064	0.020524599	0.010688201
356	0.0154608	0.020436884	0.010484716
357	0.0155548	0.020579995	0.010529605
358	0.0157338	0.020792237	0.010675363
359	0.0157102	0.020764935	0.010655465
360	0.015663	0.020690408	0.010635592
361	0.0156288	0.020673976	0.010583624
362	0.0156332	0.020788743	0.010477657
363	0.0158028	0.02089508	0.01071052
364	0.015778	0.020898464	0.010657536
365	0.0155432	0.020811157	0.010275243
366	0.015753	0.020956033	0.010549967
367	0.0156186	0.020749101	0.010488099
368	0.0154326	0.020504392	0.010360808
369	0.0159756	0.02107883	0.01087237
370	0.0159306	0.02113324	0.01072796
371	0.0157346	0.020964249	0.010504951
372	0.015637	0.020695669	0.010578331
373	0.0155698	0.020710521	0.010429079
374	0.0156266	0.020790684	0.010462516
375	0.0158244	0.02090746	0.01074134
376	0.0157644	0.021047838	0.010480962
377	0.0158476	0.021169751	0.010525449
378	0.0159606	0.021238103	0.010683097
379	0.0156946	0.021078413	0.010310787
380	0.0155144	0.020909387	0.010119413
381	0.0155144	0.020886814	0.010141986
382	0.0158574	0.021209776	0.010505024
383	0.0158764	0.021189322	0.010563478
384	0.0159536	0.021240939	0.010666261
385	0.0161618	0.021439884	0.010883716
386	0.016193	0.021580287	0.010805713
387	0.0159262	0.0213733	0.0104791
388	0.0155526	0.021038879	0.010066321
389	0.0157986	0.02142623	0.01017097
390	0.0159384	0.021502033	0.010374767
391	0.0159446	0.021400361	0.010488839
392	0.0157296	0.021167652	0.010291548
393	0.0160774	0.021538235	0.010616565
394	0.0161322	0.021633371	0.010631029
395	0.0157076	0.021262895	0.010152305
396	0.015885	0.021480959	0.010289041
397	0.0159326	0.021560994	0.010304206
398	0.0159096	0.021553367	0.010265833
399	0.0159882	0.021581484	0.010394916
400	0.016087	0.02169714	0.01047686
401	0.0161662	0.02180539	0.01052701
402	0.0161846	0.021819254	0.010549946
403	0.016282	0.0219167	0.0106473
404	0.0163298	0.021978273	0.010681327
405	0.0162924	0.021973765	0.010611035
406	0.0165698	0.022242908	0.010896692
407	0.0166952	0.022349822	0.011040578
408	0.016705	0.022348244	0.011061756
409	0.0168098	0.022554059	0.011065541
410	0.0169518	0.022746199	0.011157401
411	0.0170734	0.02288492	0.01126188
412	0.0170936	0.022894922	0.011292278
413	0.0171874	0.023096458	0.011278342
414	0.0173576	0.02333898	0.01137622
415	0.0176248	0.023587963	0.011661637
416	0.0178834	0.023904045	0.011862755
417	0.0180826	0.024176021	0.011989179
418	0.018253	0.024429454	0.012076546
419	0.018642	0.024907748	0.012376252
420	0.018927	0.025297453	0.012556547
421	0.0191968	0.0256699	0.0127237
422	0.019587	0.026129726	0.013044274
423	0.0199966	0.026637039	0.013356161
424	0.02036	0.027105414	0.013614586
425	0.020642	0.027494936	0.013789064
426	0.0210038	0.02795234	0.01405526
427	0.021367	0.028429798	0.014304202
428	0.0217288	0.028929145	0.014528455
429	0.0221026	0.029473385	0.014731815
430	0.022528	0.030046982	0.015009018
431	0.022964	0.030620693	0.015307307
432	0.02335	0.031154696	0.015545304
433	0.023687	0.031621738	0.015752262
434	0.0240256	0.032084536	0.015966664
435	0.0243958	0.032580325	0.016211275
436	0.0247332	0.033039944	0.016426456
437	0.0250564	0.033486027	0.016626773
438	0.0253766	0.033931462	0.016821738
439	0.0257946	0.034486661	0.017102539
440	0.026143	0.034942076	0.017343924
441	0.026453	0.035348869	0.017557131
442	0.0267794	0.035808047	0.017750753
443	0.0270606	0.036234609	0.017886591
444	0.0273298	0.036635759	0.018023841
445	0.0276038	0.037006588	0.018201012
446	0.0279802	0.037477022	0.018483378
447	0.0282902	0.037903185	0.018677215
448	0.028518	0.038270105	0.018765895
449	0.0287952	0.038630651	0.018959749
450	0.029076	0.038990058	0.019161942
451	0.0293488	0.039342237	0.019355363
452	0.0295728	0.039660605	0.019484995
453	0.0297354	0.039900717	0.019570083
454	0.0299084	0.040149985	0.019666815
455	0.0301528	0.040481389	0.019824211
456	0.0303542	0.040760457	0.019947943
457	0.0305358	0.041021569	0.020050031
458	0.0306986	0.04126632	0.02013088
459	0.0308274	0.041433675	0.020221125
460	0.03097	0.041629047	0.020310953
461	0.031097	0.041817943	0.020376057
462	0.031091	0.041867721	0.020314279
463	0.0312794	0.042101454	0.020457346
464	0.0314668	0.042325907	0.020607693
465	0.0314808	0.042367334	0.020594266
466	0.0315762	0.042504453	0.020647947
467	0.0316688	0.042645431	0.020692169
468	0.0317396	0.04277077	0.02070843
469	0.0318296	0.042905534	0.020753666
470	0.0319002	0.043021126	0.020779274
471	0.0319682	0.043135198	0.020801202
472	0.0321092	0.043324832	0.020893568
473	0.0321738	0.043443528	0.020904072
474	0.0322214	0.043546547	0.020896253
475	0.0323066	0.043682715	0.020930485
476	0.0324188	0.043850347	0.020987253
477	0.0325206	0.044004966	0.021036234
478	0.0326012	0.044133523	0.021068877
479	0.032668	0.044240907	0.021095093
480	0.032733	0.044350348	0.021115652
481	0.032793	0.044455012	0.021130988
482	0.0328216	0.04450737	0.02113583
483	0.0328976	0.044603483	0.021191717
484	0.0329962	0.044724968	0.021267432
485	0.0330974	0.044860745	0.021334055
486	0.0331274	0.044953879	0.021300921
487	0.0331858	0.045079027	0.021292573
488	0.0333078	0.045265273	0.021350327
489	0.0334596	0.0454995	0.0214197
490	0.0335822	0.045678676	0.021485724
491	0.0336936	0.045828795	0.021558405
492	0.0339488	0.046158917	0.021738683
493	0.0341406	0.046419815	0.021861385
494	0.0343254	0.046674891	0.021975909
495	0.0345836	0.047016473	0.022150727
496	0.0348172	0.047322707	0.022311693
497	0.035076	0.047647234	0.022504766
498	0.0353876	0.048018499	0.022756701
499	0.035814	0.04854971	0.02307829
500	0.036249	0.049102464	0.023395536
501	0.0366864	0.049668162	0.023704638
502	0.0371318	0.050249267	0.024014333
503	0.0377356	0.051005234	0.024465966
504	0.0384084	0.051837438	0.024979362
505	0.0390582	0.052644189	0.025472211
