Wavelength	Mean	Std+	Std-
350	0.02227255	0.026456759	0.018088341
351	0.02224835	0.026428922	0.018067778
352	0.0223204	0.026468575	0.018172225
353	0.0222399	0.026368188	0.018111612
354	0.0221549	0.026291806	0.018017994
355	0.0220935	0.0262587	0.0179283
356	0.02227475	0.026386543	0.018162957
357	0.02228565	0.026361519	0.018209781
358	0.022158	0.026219074	0.018096926
359	0.02186565	0.025956286	0.017775014
360	0.02195765	0.026019061	0.017896239
361	0.02198735	0.026041108	0.017933592
362	0.02167505	0.025796042	0.017554058
363	0.02170935	0.025808399	0.017610301
364	0.0217731	0.025846738	0.017699462
365	0.02181995	0.025875689	0.017764211
366	0.0217066	0.025755011	0.017658189
367	0.0216451	0.025696229	0.017593971
368	0.0215868	0.025638687	0.017534913
369	0.0213985	0.025410103	0.017386897
370	0.0212976	0.025296313	0.017298887
371	0.02125055	0.025255545	0.017245555
372	0.0212562	0.025288422	0.017223978
373	0.02128225	0.025294097	0.017270403
374	0.02138365	0.025376922	0.017390378
375	0.02156275	0.025547008	0.017578492
376	0.0212213	0.025235269	0.017207331
377	0.02109715	0.02513565	0.01705865
378	0.0211039	0.025159675	0.017048125
379	0.02100135	0.025051675	0.016951025
380	0.0210651	0.025104776	0.017025424
381	0.02116505	0.025198122	0.017131978
382	0.0212034	0.025241765	0.017165035
383	0.02106085	0.025089416	0.017032284
384	0.0209995	0.02501964	0.01697936
385	0.0210704	0.025088011	0.017052789
386	0.02090635	0.024936356	0.016876344
387	0.02089985	0.024949426	0.016850274
388	0.02098165	0.02505113	0.01691217
389	0.02091905	0.024983622	0.016854478
390	0.02101325	0.02506275	0.01696375
391	0.02110285	0.025143301	0.017062399
392	0.0210356	0.025090005	0.016981195
393	0.0210173	0.025057315	0.016977285
394	0.020948	0.024985804	0.016910196
395	0.02080805	0.02486378	0.01675232
396	0.0206707	0.024750793	0.016590607
397	0.02065945	0.024752862	0.016566038
398	0.02071715	0.02481797	0.01661633
399	0.02069515	0.024818053	0.016572247
400	0.0207248	0.024836747	0.016612853
401	0.02076795	0.024861131	0.016674769
402	0.02079675	0.024882788	0.016710712
403	0.02078555	0.024846609	0.016724491
404	0.02075805	0.024804924	0.016711176
405	0.0207187	0.024769763	0.016667637
406	0.02073755	0.024788989	0.016686111
407	0.02072795	0.024782896	0.016673004
408	0.02070935	0.024771269	0.016647431
409	0.020807	0.024879365	0.016734635
410	0.0208473	0.024917845	0.016776755
411	0.02083775	0.024906094	0.016769406
412	0.02075855	0.024839395	0.016677705
413	0.0208192	0.024905749	0.016732651
414	0.0208703	0.024966108	0.016774492
415	0.02086295	0.024976167	0.016749733
