Wavelength	Mean	Std+	Std-
350	0.02036985	0.027075033	0.013664667
351	0.0205158	0.027249914	0.013781686
352	0.0204248	0.027111846	0.013737754
353	0.02022645	0.026913857	0.013539043
354	0.02010865	0.02678932	0.01342798
355	0.02009635	0.02676068	0.01343202
356	0.0203491	0.027018931	0.013679269
357	0.02031925	0.026973663	0.013664837
358	0.0201459	0.026783412	0.013508388
359	0.0200405	0.026701353	0.013379647
360	0.0201884	0.026862613	0.013514187
361	0.020311	0.026984072	0.013637928
362	0.02024015	0.026888026	0.013592274
363	0.02017295	0.026798448	0.013547452
364	0.0202327	0.026843393	0.013622007
365	0.0204136	0.027017254	0.013809946
366	0.02024015	0.026820346	0.013659954
367	0.01992035	0.026498892	0.013341808
368	0.0196536	0.02624395	0.01306325
369	0.0200528	0.026651742	0.013453858
370	0.02016125	0.026755156	0.013567344
371	0.0201415	0.026721969	0.013561031
372	0.0200549	0.026613349	0.013496451
373	0.0200442	0.026600418	0.013487982
374	0.0200149	0.026572305	0.013457495
375	0.0199488	0.026507791	0.013389809
376	0.0197405	0.026300086	0.013180914
377	0.01993215	0.026476951	0.013387349
378	0.02029735	0.026820366	0.013774334
379	0.02007015	0.026593472	0.013546828
380	0.0199299	0.026434568	0.013425232
381	0.0199182	0.026403868	0.013432532
382	0.020126	0.026606901	0.013645099
383	0.02001515	0.026498874	0.013531426
384	0.0200309	0.026498766	0.013563034
385	0.020259	0.026686726	0.013831274
386	0.01993555	0.026379775	0.013491325
387	0.01980845	0.026248418	0.013368482
388	0.0198491	0.026273333	0.013424867
389	0.02005135	0.026479372	0.013623328
390	0.01999745	0.026428055	0.013566845
391	0.01994375	0.02637304	0.01351446
392	0.02013525	0.026553488	0.013717012
393	0.0201304	0.026535655	0.013725145
394	0.02012295	0.02651662	0.01372928
395	0.02015335	0.026537471	0.013769229
396	0.02002745	0.026399367	0.013655533
397	0.01997275	0.02634154	0.01360396
398	0.01995855	0.026329261	0.013587839
399	0.0198983	0.026265422	0.013531178
400	0.01998	0.02635002	0.01360998
401	0.02011935	0.026492051	0.013746649
402	0.02027615	0.026644585	0.013907715
403	0.02035695	0.026727629	0.013986271
404	0.02038885	0.026759535	0.014018165
405	0.02037555	0.026741353	0.014009747
406	0.0204917	0.026846917	0.014136483
407	0.020617	0.026975256	0.014258744
408	0.0207474	0.027118277	0.014376523
409	0.0208871	0.027261958	0.014512242
410	0.0210186	0.027401869	0.014635331
411	0.0211546	0.027546651	0.014762549
412	0.02131725	0.02771383	0.01492067
413	0.0213878	0.027802397	0.014973203
414	0.02153525	0.027958137	0.015112363
415	0.0218323	0.028243925	0.015420675
416	0.02197705	0.028421595	0.015532505
417	0.02213185	0.028593832	0.015669868
418	0.02230705	0.028772606	0.015841494
419	0.02252985	0.029014932	0.016044768
420	0.02269155	0.029198125	0.016184975
421	0.0228567	0.029382918	0.016330482
422	0.02313425	0.029670173	0.016598327
423	0.02331335	0.029858382	0.016768318
424	0.02350245	0.03006042	0.01694448
425	0.0237516	0.030329542	0.017173658
426	0.02395695	0.0305526	0.0173613
427	0.0241261	0.030739195	0.017513005
428	0.02427	0.030900029	0.017639971
429	0.0245174	0.031165583	0.017869217
430	0.02469815	0.031366386	0.018029914
431	0.02485485	0.0315411	0.0181686
432	0.0250643	0.031756359	0.018372241
433	0.02522985	0.031941283	0.018518417
434	0.02537645	0.032106802	0.018646098
435	0.0255128	0.032255756	0.018769844
436	0.0257084	0.032467248	0.018949552
437	0.0258465	0.032616176	0.019076824
438	0.0259292	0.032704552	0.019153848
439	0.0260963	0.032879639	0.019312961
440	0.02628055	0.033073664	0.019487436
441	0.0264571	0.033260808	0.019653392
442	0.02656245	0.033377399	0.019747501
443	0.0267015	0.033528857	0.019874143
444	0.0268514	0.033689622	0.020013178
445	0.0270028	0.033848001	0.020157599
446	0.02714625	0.033994594	0.020297906
447	0.0272889	0.034146886	0.020430914
448	0.02743115	0.034305301	0.020556999
449	0.0275409	0.034412909	0.020668891
450	0.02765295	0.034535276	0.020770624
451	0.02776935	0.034667277	0.020871423
452	0.02789665	0.034798224	0.020995076
453	0.02803245	0.034935126	0.021129774
454	0.02816125	0.035064979	0.021257521
455	0.028268	0.035174577	0.021361423
456	0.028313	0.035220477	0.021405523
457	0.02835365	0.035260869	0.021446431
458	0.0283985	0.035304271	0.021492729
459	0.0284266	0.035325436	0.021527764
460	0.02846985	0.035365212	0.021574488
461	0.028525	0.035418399	0.021631601
462	0.02858175	0.035469159	0.021694341
463	0.0286319	0.035512009	0.021751791
464	0.02866425	0.035537191	0.021791309
465	0.0286608	0.035528098	0.021793502
466	0.028712	0.035574466	0.021849534
467	0.0287645	0.035621895	0.021907105
468	0.02880675	0.035658407	0.021955093
469	0.0287873	0.035625877	0.021948723
470	0.0287982	0.035629705	0.021966695
471	0.02883875	0.035667214	0.022010286
472	0.0289238	0.035744604	0.022102996
473	0.02896745	0.035785565	0.022149335
474	0.0289931	0.035808541	0.022177659
475	0.029016	0.035824119	0.022207881
476	0.029057	0.035857889	0.022256111
477	0.02908265	0.035879174	0.022286126
478	0.02908405	0.035879384	0.022288716
479	0.02915025	0.035940387	0.022360113
480	0.0291812	0.035963666	0.022398734
481	0.02918395	0.035957497	0.022410403
482	0.0291965	0.035969144	0.022423856
483	0.02922525	0.035993673	0.022456827
484	0.0292676	0.036028075	0.022507125
485	0.02932645	0.036073476	0.022579424
486	0.02935065	0.036092621	0.022608679
487	0.0293674	0.036102969	0.022631831
488	0.02938445	0.036108891	0.022660009
489	0.02946635	0.03619206	0.02274064
490	0.02953835	0.036262997	0.022813703
491	0.0296079	0.036330812	0.022884988
492	0.02975045	0.036479929	0.023020971
493	0.02986995	0.036600148	0.023139752
494	0.0299914	0.036722353	0.023260447
495	0.0301522	0.036892149	0.023412251
496	0.03033655	0.037080297	0.023592803
497	0.0305562	0.037305756	0.023806644
498	0.030825	0.03758614	0.02406386
499	0.0310668	0.03784136	0.02429224
500	0.03137925	0.038168121	0.024590379
501	0.0317567	0.038561206	0.024952194
502	0.0321251	0.038952528	0.025297672
503	0.0325362	0.039390781	0.025681619
504	0.03298585	0.039871384	0.026100316
505	0.03350355	0.040424135	0.026582965
506	0.03408915	0.04105047	0.02712783
507	0.03470415	0.041710879	0.027697421
508	0.0353442	0.042402068	0.028286332
509	0.03609565	0.043213708	0.028977592
510	0.03689655	0.044079512	0.029713588
511	0.0377456	0.044998789	0.030492411
512	0.0386793	0.046010936	0.031347664
513	0.03967305	0.04709281	0.03225329
514	0.04071835	0.048234839	0.033201861
515	0.04180905	0.049429694	0.034188406
516	0.0430338	0.05076681	0.03530079
517	0.04432975	0.05218712	0.03647238
518	0.04567495	0.053671889	0.037678011
519	0.04709195	0.055239751	0.038944149
520	0.04849575	0.056796518	0.040194982
521	0.04986745	0.058320122	0.041414778
522	0.05127105	0.059870312	0.042671788
523	0.05265965	0.061404563	0.043914737
524	0.05404615	0.062937776	0.045154524
525	0.05543645	0.064478798	0.046394102
526	0.05677005	0.06596137	0.04757873
527	0.05805555	0.067396108	0.048714992
528	0.05929585	0.068787888	0.049803812
529	0.0604043	0.070040358	0.050768242
530	0.06146165	0.071227573	0.051695727
531	0.06247385	0.072353873	0.052593827
532	0.0634387	0.073433378	0.053444022
533	0.0643463	0.074456059	0.054236541
